Name,Address.Latitude,Address.Longitude,DBSCAN_labels_case1,DBSCAN_labels_case2,DBSCAN_labels_case3,DBSCAN_labels_case4
Addison,32.950951,-96.853854,0,0,0,0
Dallas NE,32.86569,-96.745008,0,0,0,0
Vista Ridge,33.011846000000006,-96.971203,0,0,0,0
Wichita Far West,37.678222999999996,-97.431146,0,0,3,3
Medallion,32.856408,-96.752703,0,0,0,0
Overland Park South,38.853669000000004,-94.68199399999999,0,0,3,3
Olathe South,38.848948,-94.819941,0,0,3,3
Flower Mound,33.067892,-97.083271,0,0,0,0
Stateline,38.880085,-94.60723,0,0,3,3
Love Field,32.862745000000004,-96.854439,0,0,0,0
Wichita NW,37.732946999999996,-97.46481800000001,0,0,3,3
Overland Park,38.908198999999996,-94.67465899999999,0,0,3,3
Cityplace Market,32.804355,-96.79138,0,0,0,0
Lees Summit,38.931153,-94.40894,0,0,3,3
Olathe,38.910686,-94.76440799999999,0,0,3,3
Irving North,32.913092,-96.961901,0,0,0,0
Overland Park West,38.950386,-94.718861,0,0,3,3
Jefferson City,38.579381,-92.21424,0,0,0,0
Ward Parkway,38.972471999999996,-94.607118,0,0,3,3
Grapevine,32.930631,-97.08958299999999,0,0,0,0
Irving,32.839199,-96.99095200000001,0,0,0,0
Lawrence,38.925538,-95.263513,0,0,3,3
Blue Springs,39.023798,-94.248863,0,0,3,3
Mission,39.01778,-94.66533100000001,0,0,3,3
Shawnee,39.010220000000004,-94.768077,0,0,3,3
Euless,32.88088,-97.104442,0,0,0,0
Independence,39.050723,-94.369265,0,0,3,3
North Richland Hills,32.908184999999996,-97.187652,0,0,0,0
Dallas South,32.649885999999995,-96.86301800000001,0,0,0,0
Lawton,34.629286,-98.494914,0,0,0,0
Columbia,38.964359,-92.376963,0,0,0,0
Washington,38.536581,-90.982956,0,0,0,0
Kansas City Chouteau,39.173898,-94.533073,0,0,3,3
KC Speedway,39.127235,-94.831829,0,0,3,3
Liberty,39.247376,-94.463373,0,0,3,3
Kansas City North,39.249007,-94.595171,0,0,3,3
Kansas City NW,39.257692,-94.65464300000001,0,0,3,3
Arnold,38.412647,-90.396168,0,0,0,0
Fenton,38.502843,-90.44695300000001,0,0,0,0
Wentzville,38.81917,-90.88035500000001,0,0,0,0
Ballwin,38.594512,-90.547463,0,0,0,0
Dardenne Prairie,38.768412,-90.768416,0,0,0,0
Chesterfield,38.666762,-90.58587,0,0,0,0
Town And Country,38.620739,-90.51736899999999,0,0,0,0
O'Fallon,38.777547999999996,-90.69666600000001,0,0,0,0
South County,38.50674,-90.33912600000001,0,0,0,0
St Peters,38.739289,-90.636292,0,0,0,0
Kirkwood,38.564709,-90.404735,0,0,0,0
St Charles,38.787647,-90.56283499999999,0,0,0,0
Brentwood,38.627584000000006,-90.342867,0,0,0,0
Hampton Village,38.592356,-90.295172,0,0,0,0
Topeka,39.028217,-95.759668,0,0,3,3
Bridgeton,38.754065999999995,-90.426423,0,0,0,0
Belleville,38.526185999999996,-90.032675,0,0,0,0
Florissant,38.805361,-90.310749,0,0,0,0
Fairview Heights,38.572074,-89.986828,0,0,0,0
Shiloh,38.572678,-89.92398100000001,0,0,0,0
Lufkin,31.313434,-94.72007099999999,0,0,0,0
Cedar Hill,32.603229,-96.93669399999999,0,0,0,0
Waxahachie,32.422123,-96.837576,0,0,0,0
Grand Prairie,32.677827,-97.009642,0,0,0,0
Grand Prairie S,32.642824,-97.060569,0,0,0,0
Hurst,32.836665999999994,-97.183981,0,0,0,0
Eastchase,32.758276,-97.170162,0,0,0,0
Arlington South,32.684103,-97.135958,0,0,0,0
Watauga,32.889784000000006,-97.25690999999999,0,0,0,0
Mansfield,32.589965,-97.144408,0,0,0,0
Fort Worth,32.902120000000004,-97.32478,0,0,0,0
Fort Worth Central,32.755476,-97.354078,0,0,0,0
Lake Worth,32.814128000000004,-97.429322,0,0,0,0
Ridgmar,32.74899,-97.432039,0,0,0,0
Cityview,32.678625,-97.412599,0,0,0,0
Burleson,32.523503999999996,-97.349245,0,0,0,0
Weatherford,32.727421,-97.78406,0,0,0,0
Huntsville,30.70689,-95.566244,0,0,0,0
Waco,31.534892,-97.192432,0,0,0,0
Bryan,30.664818,-96.32209,0,0,0,0
Conroe,30.314314000000003,-95.473853,0,0,0,0
Beaumont,30.126002000000003,-94.15271,0,0,0,0
Lake Charles,30.199842999999998,-93.245921,0,0,0,0
College Station,30.610754999999997,-96.315122,0,0,0,0
Edwardsville,38.78342,-89.949043,0,0,0,0
Alton,38.921281,-90.169937,0,0,0,0
Wichita Falls,33.864791,-98.533874,0,0,0,0
Port Arthur,29.945702,-93.98899499999999,0,0,0,0
Westwood Village,30.216879,-95.565289,0,0,0,0
Woodlands,30.169394,-95.45353,0,0,0,0
Atascocita,30.000453000000004,-95.172219,0,0,0,0
Humble,30.019506,-95.268162,0,0,0,0
Spring,30.087471999999998,-95.52035,0,0,0,0
Houston North Central,30.050394,-95.43431899999999,0,0,0,0
Houston Tomball North,30.091615,-95.639736,0,0,0,0
St Joseph,39.815468,-94.812352,0,0,3,3
Manhattan,39.171758000000004,-96.605345,0,0,3,3
Tucson NW,32.336156,-111.048391,0,2,4,4
Tucson SW,32.160961,-110.989723,0,2,4,4
Tucson North,32.279864,-110.97671299999999,0,2,4,4
Oro Valley,32.399158,-110.959446,0,2,4,4
Tucson El Con Mall,32.22347,-110.91458899999999,0,2,4,4
Tucson Broadway,32.222957,-110.880256,0,2,4,4
Tucson NE,32.249311,-110.85341100000001,0,2,4,4
Tucson SE,32.207417,-110.786774,0,2,4,4
Chandler South,33.25002,-111.83833100000001,0,2,4,4
Gilbert SW,33.27841,-111.786353,0,2,4,4
Chandler West Santan,33.296076,-111.89996299999999,0,2,4,4
Queen Creek,33.254419,-111.641632,0,2,4,4
Ahwatukee,33.321379,-111.98154199999999,0,2,4,4
Gilbert,33.334243,-111.75736599999999,0,2,4,4
Gilbert SE,33.322949,-111.689675,0,2,4,4
South Mountain,33.379333,-112.03501000000001,0,2,4,4
Tempe,33.379204,-111.90746499999999,0,2,4,4
Mesa West,33.392154999999995,-111.864869,0,2,4,4
Mesa Central,33.394166,-111.785987,0,2,4,4
Mesa East,33.388909000000005,-111.683474,0,2,4,4
Phoenix SW,33.423059,-112.26938100000001,0,2,4,4
Tempe NE,33.430440999999995,-111.905248,0,2,4,4
Goodyear West,33.437407,-112.421869,0,2,4,4
Arcadia Crossing,33.477388,-111.984509,0,2,4,4
Westridge,33.475425,-112.218617,0,2,4,4
Goodyear,33.462942,-112.35569199999999,0,2,4,4
Mesa Red Mountain,33.453955,-111.682275,0,2,4,4
Phoenix Uptown Camelback,33.507521999999994,-112.046462,0,2,4,4
Phoenix Spectrum,33.520769,-112.09679799999999,0,2,4,4
Scottsdale,33.540209999999995,-111.887628,0,2,4,4
Peoria SW,33.554179,-112.25978700000002,0,2,4,4
Glendale,33.580184,-112.152971,0,2,4,4
Paradise Valley,33.600407000000004,-111.98923899999998,0,2,4,4
Fountain Hills,33.573929,-111.718355,0,2,4,4
North Scottsdale,33.627292,-111.88829299999999,0,2,4,4
Deer Valley,33.638653999999995,-112.068832,0,2,4,4
Peoria North,33.636207,-112.22854,0,2,4,4
Surprise,33.637254,-112.3532,0,2,4,4
Phoenix North Central,33.666761,-112.119577,0,2,4,4
Phoenix NE,33.674884000000006,-111.974585,0,2,4,4
Peoria Far North,33.709472999999996,-112.27532,0,2,4,4
Sierra Vista,31.555778000000004,-110.25576399999999,0,2,4,4
Far North Scottsdale,33.779027,-111.923014,0,2,4,4
Yuma,32.704743,-114.60538000000001,0,3,5,5
Prescott,34.549609999999994,-112.431774,0,2,4,4
El Centro,32.813328000000006,-115.56764199999999,0,3,5,5
Flagstaff,35.183837,-111.66001000000001,0,2,4,4
Albuquerque NW,35.186039,-106.66426200000001,0,4,6,6
Albuquerque Uptown,35.101583000000005,-106.56808799999999,0,4,6,6
Albuquerque Lomas,35.085529,-106.527855,0,4,6,6
Rio Rancho,35.252425,-106.65138999999999,0,4,6,6
Albuquerque NE,35.172748,-106.58153999999999,0,4,6,6
Albuquerque Wyoming,35.130034,-106.547596,0,4,6,6
Las Cruces,32.317434999999996,-106.74420500000001,0,5,7,7
El Paso West,31.818440000000002,-106.548296,0,5,7,7
Farmington,36.768639,-108.148215,0,7,9,9
El Paso Central,31.783152,-106.414718,0,5,7,7
Santa Fe,35.639352,-106.012863,0,4,6,6
El Paso East,31.769818,-106.30514099999999,0,5,7,7
El Paso Far East,31.759186,-106.26531200000001,0,5,7,7
Bullhead City,35.051939000000004,-114.592099,0,6,8,8
Henderson South,36.038477,-114.994098,0,6,8,8
Henderson,36.065059000000005,-115.047712,0,6,8,8
Henderson SW,36.003399,-115.085183,0,6,8,8
Las Vegas Silverado Ranch,36.012118,-115.121798,0,6,8,8
Las Vegas East,36.15806,-115.06096200000002,0,6,8,8
Las Vegas Flamingo,36.116541,-115.13886000000001,0,6,8,8
Las Vegas Blue Diamond,36.04072,-115.194644,0,6,8,8
N Las Vegas Deer SP,36.288669,-115.133095,0,6,8,8
West Las Vegas,36.124402,-115.241548,0,6,8,8
St George,37.102987,-113.554468,0,6,-1,-1
Las Vegas N Decatur,36.272988,-115.20948200000001,0,6,8,8
Las Vegas NW,36.219536,-115.24983,0,6,8,8
Las Vegas Boca Park,36.161086,-115.28713400000001,0,6,8,8
Las Vegas Far SW,36.114471,-115.311127,0,6,8,8
Las Vegas Far NW,36.280438000000004,-115.263741,0,6,8,8
La Quinta,33.708582,-116.289698,0,3,5,5
Palm Desert,33.724327,-116.40342700000001,0,3,5,5
Palm Springs,33.789552,-116.48145600000001,0,3,5,5
Apple Valley North,34.527471999999996,-117.217228,0,3,5,5
Apple Valley,34.469177,-117.243953,0,3,5,5
Hesperia,34.425036,-117.383994,0,3,5,5
San Bernardino,34.138128,-117.24501000000001,0,3,5,5
Redlands,34.071915999999995,-117.206907,0,3,5,5
Hemet,33.745886,-117.008866,0,3,5,5
